category,subcategory,image_url,title_zh,era_or_artist,auction_house,auction_event,auction_date,auction_location,lot_number,size_text,estimate_low,estimate_high,sold_price,currency,sale_status,lot_id,event_id,auction_house_id,artist_name,era_name,attribution_status
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=891207&randomCode=1013860968,青花如意雲紋碟,不詳,蘇富比,秋季 重要中國瓷器及工藝精品（模擬場次）,2021-12-26,香港,0001,高3.5公分 口徑14.5公分 底徑8.5公分,290000,380000,280000,RMB,成交,LOT-58DB1909E768,SIM-2021-SOT-CER-2,SOT,,,資料不詳
銅器,簋／簠／豆,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=376328&randomCode=512738919,𬹜簋,西周中期,東京飛鳥,春季 中國藝術珍品－青銅器專場（模擬場次）,2022-05-07,東京,0001,通蓋高21.4公分 腹深11.8公分 口徑16.5公分 底徑18.3公分 腹圍68.6公分,79000,94000,93000,RMB,成交,LOT-24D7B704A567,SIM-2022-TFA-BRO-1,TFA,,西周中期,僅有年代
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=29884&randomCode=122114727,「賈遂成印」銅印,待訂,帝圖,春季 中國古代青銅器藝術（模擬場次）,2021-04-10,台北,0001,長1.7公分,5000000,8150000,16200000,RMB,成交,LOT-18DC5E9F2DED,SIM-2021-DIT-BRO-1,DIT,,待訂,需要確認
玉器,玉佩／玉飾,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=382708&randomCode=74151952353,翠玉墜,清,帝圖,秋季 韞玉生輝－中國古代玉器（模擬場次）,2021-09-25,台北,0001,待測量,420000,650000,560000,RMB,成交,LOT-6672365DDB4E,SIM-2021-DIT-JAD-2,DIT,,清,僅有年代
銅器,銅鏡,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=586&randomCode=1120897415,小鉛鏡,漢,東京飛鳥,春季 中國藝術珍品－青銅器專場（模擬場次）,2025-05-18,東京,0001,直徑6.8公分,370000,590000,480000,RMB,成交,LOT-983C0D24C8B2,SIM-2025-TFA-BRO-1,TFA,,漢,僅有年代
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=439707&randomCode=411062700,青花御製詩三清茶詩茶碗,不詳,華藝國際（廣州）,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2022-12-24,廣州,0001,高5.4公分 口徑10.9公分 底徑4.7公分,1100000,1800000,1750000,RMB,成交,LOT-3E654C5D5E08,SIM-2022-HYG-CER-2,HYG,,,資料不詳
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1180389&randomCode=286214864,銅鍍金嵌料法輪,清,宇珍,秋季 吉金永寶－重要青銅器（模擬場次）,2023-11-04,台北,0001,高30.6公分,3700000,4650000,4400000,RMB,成交,LOT-8128C01CFCCF,SIM-2023-YZH-BRO-2,YZH,,清,僅有年代
法書,其他法書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=523440&randomCode=85683330367,元明書翰第十一冊　冊　明祝允明書袁昂評鍾書　,祝允明,東京中央,秋季 翰墨流芳－歷代法書（模擬場次）,2024-09-29,東京,0001,,480000,780000,740000,RMB,成交,LOT-3983C87F3977,SIM-2024-TCA-CAL-2,TCA,祝允明,明憲宗成化八年（1472）,已解析作者
陶瓷器,白瓷／白釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1733542&randomCode=1836092358,甜白釉盤,明,永樂拍賣,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-11-28,北京,0001,高5.0公分 口徑23.5公分 底徑14.8公分,490000,820000,1700000,RMB,成交,LOT-86BE921A3431,SIM-2020-YON-CER-2,YON,,明,僅有年代
玉器,玉璜,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=931949&randomCode=808777825,玉虎形璜,漢,蘇富比,春季 中國藝術珍品－玉器專場（模擬場次）,2021-04-11,香港,0001,長6.6公分,580000,700000,630000,RMB,成交,LOT-27686934DDA9,SIM-2021-SOT-JAD-1,SOT,,漢,僅有年代
陶瓷器,粉彩,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=291173&randomCode=56241154511,粉彩花卉紋扳指,清 乾隆,佳士得,春季 御窯菁華－中國古代陶瓷（模擬場次）,2022-05-01,香港,0001,高2.5公分 口徑3.0公分,1900000,2700000,7900000,RMB,成交,LOT-6619178D5AE4,SIM-2022-CHR-CER-1,CHR,,清 乾隆,僅有年代
銅器,壺／瓶,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=6600&randomCode=65627926605,貫耳素瓶,宋以後,中國嘉德（香港）,秋季 中國藝術珍品－青銅器專場（模擬場次）,2025-12-27,香港,0001,高11.6公分,1900000,2750000,2000000,RMB,成交,LOT-84AB222433D0,SIM-2025-CGH-BRO-2,CGH,,宋以後,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=592167&randomCode=55469910769,群仙圖（一）　冊　蔡女仙繡風遇仙,不詳,佳士得,春季 中國古代書畫（模擬場次）,2021-05-23,香港,0001,59.6x40.4,5850000,9600000,,RMB,流拍,LOT-0336AA85A4B0,SIM-2021-CHR-PAI-1,CHR,,,資料不詳
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1156202&randomCode=594704931,銅鍍金嵌玉填料八寶（法螺）,清,橫濱國拍,秋季 中國古代青銅器藝術（模擬場次）,2024-10-19,橫濱,0001,高38.5公分,270000,450000,,RMB,流拍,LOT-DCF502C1F047,SIM-2024-YIA-BRO-2,YIA,,清,僅有年代
繪畫,人物,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=475827&randomCode=878292676,元代后半身像　冊　元武宗后,不詳,佳士得,春季 中國古代書畫（模擬場次）,2021-05-23,香港,0002,60.9x47.6,650000,790000,,RMB,流拍,LOT-6731A4C49FF7,SIM-2021-CHR-PAI-1,CHR,,,資料不詳
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=29003&randomCode=38601912499,附金屬膽,漢,保利香港,春季 中國藝術珍品－青銅器專場（模擬場次）,2024-03-30,香港,0001,高35.7公分 腹深30.6公分 口徑長11.0公分 寬10.8公分 底徑長13.7公分 寬13.6公分 腹圍83.5公分,870000,1150000,,RMB,流拍,LOT-17EC8D1D54E7,SIM-2024-PHK-BRO-1,PHK,,漢,僅有年代
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=30729&randomCode=61018314607,「王廣平」銅印,待訂,佳士得,秋季 中國藝術珍品－青銅器專場（模擬場次）,2022-11-05,香港,0001,長1.4公分,590000,830000,1200000,RMB,成交,LOT-D0A557F44B2B,SIM-2022-CHR-BRO-2,CHR,,待訂,需要確認
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=520944&randomCode=48121761955,宋林逋手札二帖　冊,林逋,宇珍,秋季 中國古代書法（模擬場次）,2022-11-27,台北,0001,,3250000,4450000,,RMB,流拍,LOT-270954B0C761,SIM-2022-YZH-CAL-2,YZH,林逋,,已解析作者
法書,法帖,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=530767&randomCode=26622763762,清王澍書積書巖帖（三十九）　冊　臨顏真卿盧八帖寒食帖,王澍,中國嘉德（香港）,春季 中國書畫珍藏（模擬場次）,2020-06-14,香港,0001,,4900000,7650000,5200000,RMB,成交,LOT-8EE811F54A13,SIM-2020-CGH-CAL-1,CGH,王澍,,已解析作者
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=870399&randomCode=72141970,青花蓮瓣紋蓮子碗,明 宣德,北京保利,秋季 重要中國瓷器及工藝精品（模擬場次）,2022-12-04,北京,0001,高6.1公分 深5.1公分 口徑10.1公分 足徑3.1公分,150000,230000,220000,RMB,成交,LOT-759279580CEA,SIM-2022-BPL-CER-2,BPL,,明 宣德,僅有年代
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=619042&randomCode=1008500740,翠玉戒指,清,佳士得,秋季 韞玉生輝－中國古代玉器（模擬場次）,2021-10-10,香港,0001,戒面長2.3公分 寬0.9公分 外徑2.0公分 內徑1.6公分,540000,930000,620000,RMB,成交,LOT-79DCAB7785FB,SIM-2021-CHR-JAD-2,CHR,,清,僅有年代
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=923215&randomCode=79232903,清惲壽平畫花卉　冊　枇杷,惲壽平,永樂拍賣,春季 翰墨丹青－中國繪畫專場（模擬場次）,2020-04-11,北京,0001,29.7x32.2,340000,580000,470000,RMB,成交,LOT-A4991841D1C8,SIM-2020-YON-PAI-1,YON,惲壽平,,已解析作者
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,木座,不詳,東京中央,秋季 韞玉生輝－中國古代玉器（模擬場次）,2024-12-21,東京,0001,,31000,38000,49000,RMB,成交,LOT-7542288586FF,SIM-2024-TCA-JAD-2,TCA,,,資料不詳
陶瓷器,其他陶瓷,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1264940&randomCode=368180876,花卉紋瓦當殘片,不詳,帝圖,秋季 御窯菁華－中國古代陶瓷（模擬場次）,2024-12-21,台北,0001,大件殘長5.0公分、殘寬4.3公分；小件長4.3公分、寬2.6公分,200000,250000,250000,RMB,成交,LOT-6957DB702EF4,SIM-2024-DIT-CER-2,DIT,,,資料不詳
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=990388&randomCode=685660694,清法式善畫李東陽像羅聘補竹　軸　法式善畫李東陽像,法式善,北京保利,春季 中國古代書畫（模擬場次）,2020-05-24,北京,0003,25.8x21,60000,92000,110000,RMB,成交,LOT-67B3237520E7,SIM-2020-BPL-PAI-1,BPL,法式善,,已解析作者
銅器,銅鏡,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=830&randomCode=889013132,四山紋鏡,戰國,華藝國際（廣州）,秋季 中國藝術珍品－青銅器專場（模擬場次）,2023-10-01,廣州,0001,直徑13.6公分,6300000,7500000,,RMB,撤拍,LOT-14C5BC8B30CE,SIM-2023-HYG-BRO-2,HYG,,戰國,僅有年代
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=151776&randomCode=856851764,玉垂恩香筒,清,北京保利,春季 中國藝術珍品－玉器專場（模擬場次）,2025-05-04,北京,0001,長19.0公分 直徑3.9公分,440000,770000,750000,RMB,成交,LOT-AC41C1E65082,SIM-2025-BPL-JAD-1,BPL,,清,僅有年代
法書,其他法書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,民國曹容書唐人七律　軸,曹容,佳士得,春季 翰墨流芳－歷代法書（模擬場次）,2022-06-12,香港,0001,134.8x69,3350000,4050000,3550000,RMB,成交,LOT-1EBB9FDB9F14,SIM-2022-CHR-CAL-1,CHR,曹容,,已解析作者
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,青花四季花果紋梅瓶,不詳,宇珍,春季 重要中國瓷器及工藝精品（模擬場次）,2020-05-10,台北,0001,高34.6公分 口徑5.6公分 底徑12.3公分,23500000,34300000,,RMB,流拍,LOT-B1CCF7C4A93B,SIM-2020-YZH-CER-1,YZH,,,資料不詳
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=591300&randomCode=16465538493,清金廷標畫御製用庾信詠畫屏風體　冊　跨水作虹橋,金廷標,宇珍,春季 翰墨丹青－中國繪畫專場（模擬場次）,2022-03-12,台北,0001,71.8x41.2,670000,890000,1650000,RMB,成交,LOT-669E86AE5B46,SIM-2022-YZH-PAI-1,YZH,金廷標,,已解析作者
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=869616&randomCode=1652450127,明人畫扇　冊　明范周行草書,范周,中國嘉德（香港）,春季 中國近現代書畫（模擬場次）,2025-03-22,香港,0001,16.3x50.2,6900000,9350000,8050000,RMB,成交,LOT-D7E7A56BC31E,SIM-2025-CGH-PAI-1,CGH,范周,,已解析作者
法書,法帖,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=335709&randomCode=21629444962,臨蔡襄詩帖 冊,清 乾隆,蘇富比,春季 中國書畫珍藏（模擬場次）,2021-03-13,香港,0001,長6.6公分 寬6.7公分,5800000,9850000,18900000,RMB,成交,LOT-18A9BBA4098E,SIM-2021-SOT-CAL-1,SOT,,清 乾隆,僅有年代
銅器,鼎,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2654&randomCode=1183321333,弦紋鼎,漢,蘇富比,秋季 中國藝術珍品－青銅器專場（模擬場次）,2020-10-11,香港,0001,高16.3公分,2700000,4650000,,RMB,流拍,LOT-3A4A7C6A5402,SIM-2020-SOT-BRO-2,SOT,,漢,僅有年代
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=34576&randomCode=51995022850,「張遂」「臣遂」銅印,漢,永樂拍賣,秋季 中國古代青銅器藝術（模擬場次）,2020-09-06,北京,0001,長1.2公分,300000,510000,380000,RMB,成交,LOT-18B11C35AFC7,SIM-2020-YON-BRO-2,YON,,漢,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1149803&randomCode=612516320,清沈全畫五老觀峰　軸,沈全,永樂拍賣,春季 中國古代書畫（模擬場次）,2024-05-19,北京,0001,167.7x88.5,280000,440000,,RMB,流拍,LOT-679A3114206A,SIM-2024-YON-PAI-1,YON,沈全,,已解析作者
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1180605&randomCode=168457961,銅鍍金七政寶（武將）,清,中國嘉德,春季 中國古代青銅器藝術（模擬場次）,2022-06-11,北京,0001,高31.7公分,790000,1300000,3000000,RMB,成交,LOT-2A86E86AF033,SIM-2022-CGD-BRO-1,CGD,,清,僅有年代
玉器,玉印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=145156&randomCode=64610604139,玉三獸鈕未刻印,清,永樂拍賣,秋季 瑰麗玉器與宮廷藝術（模擬場次）,2020-09-19,北京,0001,長7.0公分 寬7.0公分 高4.7公分,2200000,3200000,2900000,RMB,成交,LOT-A32BD37F9B1C,SIM-2020-YON-JAD-2,YON,,清,僅有年代
陶瓷器,青瓷／青釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1833839&randomCode=1058473497,冬青釉紅彩團鳳紋碗,清 雍正,保利香港,秋季 中國藝術珍品－瓷器專場（模擬場次）,2020-09-27,香港,0001,高6.8公分 口徑14.6公分 底徑5.9公分,530000,780000,600000,RMB,成交,LOT-E78D87D16E1E,SIM-2020-PHK-CER-2,PHK,,清 雍正,僅有年代
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=369552&randomCode=1729055911,青花如意紋瓶,清 乾隆,中國嘉德（香港）,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-12-19,香港,0001,高13.8公分 口徑4.5公分 底徑3.2公分,40000000,51500000,46900000,RMB,成交,LOT-34D759BE11E0,SIM-2020-CGH-CER-2,CGH,,清 乾隆,僅有年代
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=170377&randomCode=2139390310,銅香爐,待訂,北京保利,秋季 中國藝術珍品－青銅器專場（模擬場次）,2024-12-21,北京,0001,高6.4公分 口徑4.5公分 腹深6.3公分,340000,510000,,RMB,流拍,LOT-CBF81F35FB70,SIM-2024-BPL-BRO-2,BPL,,待訂,需要確認
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=410516&randomCode=443055955,青花歲寒三友圖盤,明 成化,帝圖,秋季 中國藝術珍品－瓷器專場（模擬場次）,2022-12-31,台北,0001,高3.8公分 口徑16.5公分 底徑10.0公分,190000,300000,210000,RMB,成交,LOT-EC2B1B4C8237,SIM-2022-DIT-CER-2,DIT,,明 成化,僅有年代
玉器,玉佩／玉飾,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=162473&randomCode=26886089211,玉飾件,明晚期至清早期,永樂拍賣,春季 韞玉生輝－中國古代玉器（模擬場次）,2025-06-01,北京,0001,寬3.6公分 通高4.3公分 厚1.5公分,650000,1050000,1000000,RMB,成交,LOT-431F5486A8AD,SIM-2025-YON-JAD-1,YON,,明晚期至清早期,僅有年代
陶瓷器,釉裡紅,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=881653&randomCode=129205660,青花釉裡紅人物圖瓶,不詳,佳士得,春季 重要中國瓷器及工藝精品（模擬場次）,2024-04-14,香港,0001,高8公分 口徑1.8公分 底徑2.7公分,330000,450000,470000,RMB,成交,LOT-35EE57479181,SIM-2024-CHR-CER-1,CHR,,,資料不詳
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=6563&randomCode=1331432754,素鈁,漢,中國嘉德（香港）,秋季 中國藝術珍品－青銅器專場（模擬場次）,2025-12-27,香港,0002,高12.5公分,14500000,20100000,,RMB,流拍,LOT-DD38DD59A514,SIM-2025-CGH-BRO-2,CGH,,漢,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=590373&randomCode=79378472399,名人畫扇貳冊 (下)　冊　清強應祥疏樹茆堂,不詳,蘇富比,秋季 中國近現代書畫（模擬場次）,2022-11-27,香港,0001,16.6x51.8,1100000,1650000,1500000,RMB,成交,LOT-0BC7E73F75F3,SIM-2022-SOT-PAI-2,SOT,,,資料不詳
玉器,玉璧,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,璧,不詳,蘇富比,春季 中國藝術珍品－玉器專場（模擬場次）,2021-04-11,香港,0002,外徑12.2 內徑4.5 厚0.7公分,5100000,6800000,6100000,RMB,成交,LOT-19C958483913,SIM-2021-SOT-JAD-1,SOT,,,資料不詳
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=604425&randomCode=1431286300,玉戒指,清,蘇富比,春季 韞玉生輝－中國古代玉器（模擬場次）,2020-03-01,香港,0002,內徑1.5公分 外徑2.3公分,500000,720000,660000,RMB,成交,LOT-50D95D3BC7DD,SIM-2020-SOT-JAD-1,SOT,,清,僅有年代
玉器,其他玉器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=462485&randomCode=52184076048,玉煙嘴,清,永樂拍賣,秋季 中國藝術珍品－玉器專場（模擬場次）,2022-12-04,北京,0001,長7.5公分 徑0.8公分,410000,710000,1450000,RMB,成交,LOT-D955A2033776,SIM-2022-YON-JAD-2,YON,,清,僅有年代
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=437392&randomCode=63944476753,清翁同龢致張樵野手札（第一卷）　冊　（十九）,翁同龢,東京飛鳥,秋季 中國古代書法（模擬場次）,2022-09-24,東京,0001,,810000,1150000,2500000,RMB,成交,LOT-82A523B2176C,SIM-2022-TFA-CAL-2,TFA,翁同龢,,已解析作者
法書,法帖,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=529527&randomCode=61220645829,清王澍書積書巖帖（二）　冊　第八鼓馬薦篇,王澍,蘇富比,秋季 中國古代書法（模擬場次）,2024-09-01,香港,0001,25.6x14.4,1600000,2300000,2100000,RMB,成交,LOT-825807B62E72,SIM-2024-SOT-CAL-2,SOT,王澍,雍正六年（西元一七二八年）,已解析作者
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=598950&randomCode=93459193248,鳥譜（四）　冊　鳳頭花阿蘭,不詳,東京中央,春季 翰墨丹青－中國繪畫專場（模擬場次）,2023-06-17,東京,0001,40.5x43.5,1650000,2450000,2350000,RMB,成交,LOT-638F43AC6948,SIM-2023-TCA-PAI-1,TCA,,,資料不詳
陶瓷器,白瓷／白釉,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1741566&randomCode=402072949,甜白釉盤,明 弘治,東京飛鳥,春季 重要中國瓷器及工藝精品（模擬場次）,2023-05-27,東京,0001,高4.6公分 口徑21.5公分 底徑12.8公分,1950000,2550000,3800000,RMB,成交,LOT-020F77331264,SIM-2023-TFA-CER-1,TFA,,明 弘治,僅有年代
銅器,壺／瓶,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=6058&randomCode=1277099879,獸環壺,漢,東京飛鳥,秋季 吉金永寶－重要青銅器（模擬場次）,2020-09-06,東京,0001,高22.6公分,890000,1350000,940000,RMB,成交,LOT-9842296FB657,SIM-2020-TFA-BRO-2,TFA,,漢,僅有年代
陶瓷器,其他陶瓷,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=371293&randomCode=63216992330,仿拉古里木釉多穆壺,清,佳士得,秋季 重要中國瓷器及工藝精品（模擬場次）,2020-12-27,香港,0001,高45.0公分 底徑13.0公分,1400000,1800000,1200000,RMB,成交,LOT-58762AC4EBAE,SIM-2020-CHR-CER-2,CHR,,清,僅有年代
銅器,尊,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=4804&randomCode=1015591673,獸面紋尊,時代待訂,蘇富比,春季 中國藝術珍品－青銅器專場（模擬場次）,2021-06-06,香港,0001,高27.5公分,470000,570000,830000,RMB,成交,LOT-E9635682BB7B,SIM-2021-SOT-BRO-1,SOT,,時代待訂,需要確認
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1176204&randomCode=2043074319,清沈慶蘭畫慶吉騮　軸,沈慶蘭,佳士得,春季 翰墨丹青－中國繪畫專場（模擬場次）,2023-04-30,香港,0001,161.5x107.1,8550000,11800000,9650000,RMB,成交,LOT-96D24A08C5E4,SIM-2023-CHR-PAI-1,CHR,沈慶蘭,清仁宗嘉慶十四年（1809）,已解析作者
法書,行書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,民國王壯為行書七言聯　鏡片,王壯為,西泠印社,春季 中國書畫珍藏（模擬場次）,2025-03-16,杭州,0001,104x23,9450000,14900000,,RMB,撤拍,LOT-7E8DD1F430B1,SIM-2025-XLY-CAL-1,XLY,王壯為,,已解析作者
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=871340&randomCode=1062103020,元人雜書　卷　周馳致義齋廉訪尺牘,不詳,東京飛鳥,秋季 中國古代書法（模擬場次）,2022-09-24,東京,0002,33.7x60,890000,1550000,2300000,RMB,成交,LOT-074CEA832236,SIM-2022-TFA-CAL-2,TFA,,,資料不詳
法書,書札／信函,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1080227&randomCode=781976685,清薛時雨致叔起八月初十日函,薛時雨,帝圖,秋季 中國古代書法（模擬場次）,2023-12-24,台北,0001,,800000,1100000,,RMB,流拍,LOT-8B7CE54178FA,SIM-2023-DIT-CAL-2,DIT,薛時雨,,已解析作者
法書,其他法書,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=534319&randomCode=55278928708,清王圖炳書合錦上冊　冊　書清高宗御製有鳥二十章之一,王圖炳,帝圖,春季 翰墨流芳－歷代法書（模擬場次）,2025-05-31,台北,0001,35x35,1550000,2000000,1600000,RMB,成交,LOT-FA3CF1622533,SIM-2025-DIT-CAL-1,DIT,王圖炳,,已解析作者
銅器,其他銅器,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=335774&randomCode=83589084785,銅鎏金馬,明晚期至清,北京保利,秋季 中國藝術珍品－青銅器專場（模擬場次）,2024-12-21,北京,0002,寬8.5公分 高5.8公分,650000,1100000,1900000,RMB,成交,LOT-94A209A8EBAE,SIM-2024-BPL-BRO-2,BPL,,明晚期至清,僅有年代
陶瓷器,鬥彩,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,「天」字款鬥彩龍紋蓋罐,不詳,橫濱國拍,春季 重要中國瓷器及工藝精品（模擬場次）,2022-05-14,橫濱,0001,通蓋高16.1公分 罐高14.1公分 口徑9公分 底徑10公分,1550000,2100000,2050000,RMB,成交,LOT-26A0D66A2363,SIM-2022-YIA-CER-1,YIA,,,資料不詳
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1254139&randomCode=423513861,青花六龍紋盤,不詳,帝圖,春季 重要中國瓷器及工藝精品（模擬場次）,2024-04-20,台北,0001,高3.6公分 口徑14公分 底徑8.9公分,640000,1100000,1050000,RMB,成交,LOT-3F4A94E17264,SIM-2024-DIT-CER-1,DIT,,,資料不詳
繪畫,人物,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=1204808&randomCode=86323836,宋人畫十八羅漢（十三）　軸,不詳,橫濱國拍,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2023-12-24,橫濱,0001,128.5x74.8,16400000,25900000,24800000,RMB,成交,LOT-AC7C01410E07,SIM-2023-YIA-PAI-2,YIA,,,資料不詳
玉器,玉佩／玉飾,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=149982&randomCode=72286558052,玉雙魚佩,清,中國嘉德,春季 瑰麗玉器與宮廷藝術（模擬場次）,2022-04-02,北京,0001,寬5.7公分 通高4.1公分,3150000,4600000,3800000,RMB,成交,LOT-D4CA096016AA,SIM-2022-CGD-JAD-1,CGD,,清,僅有年代
銅器,銅印,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=37655&randomCode=28523184883,「小窗」銅印,漢,中國嘉德,秋季 中國古代青銅器藝術（模擬場次）,2024-09-22,北京,0001,長1.2公分,930000,1500000,950000,RMB,成交,LOT-96E6743C9DC5,SIM-2024-CGD-BRO-2,CGD,,漢,僅有年代
玉器,玉佩／玉飾,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=382780&randomCode=28503643201,翠玉墜,清,中國嘉德（香港）,秋季 中國藝術珍品－玉器專場（模擬場次）,2025-09-13,香港,0001,待測量,850000,1100000,990000,RMB,成交,LOT-2E90BA882086,SIM-2025-CGH-JAD-2,CGH,,清,僅有年代
陶瓷器,粉彩,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=2655819&randomCode=1814122973,粉彩海棠花紋花盆,不詳,永樂拍賣,春季 御窯菁華－中國古代陶瓷（模擬場次）,2025-06-08,北京,0001,高36.7公分 口徑40公分 底徑29.2公分,1100000,1750000,1550000,RMB,成交,LOT-7E81AC51AEBC,SIM-2025-YON-CER-1,YON,,,資料不詳
繪畫,花鳥,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=586297&randomCode=63477444472,清黃鉞畫春林茁秀　冊　春徑猗蘭,黃鉞,保利香港,秋季 翰墨丹青－中國繪畫專場（模擬場次）,2020-10-03,香港,0001,14.8x36.5,510000,730000,970000,RMB,成交,LOT-66DD3B12C2CD,SIM-2020-PHK-PAI-2,PHK,黃鉞,,已解析作者
陶瓷器,青花,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=400041&randomCode=498388940,青花花卉紋盤,清 道光,蘇富比,春季 御窯菁華－中國古代陶瓷（模擬場次）,2020-03-15,香港,0001,高2.4公分 口徑15.5公分 足徑8.0公分,5650000,8850000,6150000,RMB,成交,LOT-2533A48F4583,SIM-2020-SOT-CER-1,SOT,,清 道光,僅有年代
繪畫,其他繪畫,https://digitalarchive.npm.gov.tw/Image/GetImage?ImageId=0&randomCode=0,集珍挹爽　冊,不詳,北京保利,春季 中國近現代書畫（模擬場次）,2024-05-25,北京,0001,,1050000,1250000,1150000,RMB,成交,LOT-56206E7132C9,SIM-2024-BPL-PAI-1,BPL,,,資料不詳
